Model,Accuracy
Logistic Regression,0.7428571428571429
KNN,0.7857142857142857
Naive Bayes,0.7571428571428571
SVC,0.7785714285714286
Decision Tree,0.7285714285714285
Random Forest,0.7428571428571429
